Question,Answers
Can I Import Purchase Orders?,"You can import up to 50 purchases orders and 5,000 orderlines per file and an individual purchase order can have a maximum of 2,000 orderlines. We have some documentation available on this here https://www.netohq.com/support/s/article/import-purchase-orders"
Is there a field to add a batch number and expiry dates for each product?,"Neto and Neto Inventory does not specifically support Batches or Food Batches, though we do support serialization (recording serial barcodes on orderlines when shipped) ."
Can I correct cost prices in bulk?,"If the incorrect or no cost price was set on items when Inventory was first installed, this can be fairly difficult to correct. However, there are two options, to update the cost price in bulk:
First Option: Provided you have a cost price that you want to update products with, it is possible to run an adjustment to basically remove all stock of the item on the store and then return it with the intended cost price.

To provide an example, say you have an item with 200 stock and a cost price of $43 and want to change this to an average cost price of $30. Below is how this would look like on a stock adjustment:

Line 1: - 200 stock, with the current cost price ($43) 

Line 2: +200 stock, with the intended cost price ($30). 

 What this does is bring the total value of the item to $0 and then add the stock back with the correct cost price to create the new average of $30.

 While it is possible to populate stock adjustments via a CSV, you can only have 250 lines in a single adjustment. As it requires 2 lines for each product, this would be 125 products can be adjusted on a single adjustment. This is the tedious part but has some advantages over option 2. 

Option 2: Uninstall Inventory

Neto Inventory can be Uninstalled and Reinstalled when required. However, when uninstalling Neto Inventory, all previous Purchase Orders, Stock Adjustments and Stocktakes are removed and can no longer be retrieved. 

The advantage, however, is while Inventory is uninstalled, you are able to import Stock and the Cost Price which will allow you to basically have a fresh start with Neto Inventory again. Once all product data has been corrected, Inventory can be installed again. 

This can also provide an opportunity to do a full stocktake when re-uploading stock levels and ensure that any item which contains stock, has a cost price. "
What is your recommended approach to stocktakes?,"Currently, Stock takes in Neto support 250 lines per stocktake. However, it is still possible to create multiple Stocktakes to start and count on at a later point.

The best method to create stocktakes is to go to Products > View Products, and then apply filters to either create stocktakes by the Pick Zone or Category where there are a large number of options to filter by, depending on what data is available in Neto. From there, you can set the #per Page to 250, use Select All > With Selected > Create Stocktake and then move to the next page and create a new stocktake following the steps before.

Once the stocktakes are prepared, you can then assign a user a stocktake and start, count and then complete the stocktake. Once the stocktake is started, any items on that stocktake will prevent users from fulfilling orders that contain items that are being stocktakes. However this does not apply to order fulfilled through the POS, so it is best to avoid making sales through the POS during a stocktake."
How do I do stocktakes with a barcode gun or scanner?,"The easiest way to explain the functionality of how it would work is as below;

If you had a device with the control panel in the warehouse connected to a scanner you would select product bar code field in the control panel to highlight the field. Once the field is selected you are able to scan the bar code. When the bar code loads you are then able to enter the amount counted and repeat for the next product. This method will work provided the UPC/EAN field is populated within the product card. 

"
Can I have multiple incoming stock dates?,"If stock is being received on a purchase order, the purchase order can be partially received until the 2nd lot has arrived. 

If just using the preorder date, you can only enter in the earliest arriving stock. So only enter in 10 Pre-order qty and arrival date, once stock arrives fix the date back up to the next shipment."
"If a sku is set to inactive, will the cost value of the items on the inactive sku be included in the total value of the skus we stock or does the product cease to exist as far as reporting is concerned?","Any stock for an item that is in Neto will be recorded against the stock valuation regardless of it's active status. This is due to the fact that the stock still exists in the warehouse in Neto, even if the item is inactive. If you wish for this stock to be excluded from the report, it will need to be removed from the warehouse where it is recorded."
Do I have to have stock in my warehouse for pre-order to work?,"Pre-order set up article can be found here: https://www.netohq.com/support/s/article/add-and-manage-products#8

If you are enquiring about the possibility of pre-order functions to work on true stock levels and incoming qty this is possible through a design tweak."
Is it possible to only sell from one of the multiple warehouses that are active?,"No this is not possible at present. The reason for this is the  quantity on hand ( what can be sold) is calculated using qty in warehouse - committed qty and there is no way to disable this warehouse from being in the calculation. Warehouses should not be used as a ""holding"" for damaged goods etc. This should be managed outside of Neto. "
We have two parent products that keep coming up with negative stock numbers how do I fix this?,The issue is that the parent product should be calculating stock based on how much stock the child products have on hand.  This can sometimes cache for a number of reasons from order processing to importing orders etc. The resolution for this is to use the recalculate stock button on the top right-hand side of the stock adjustment & stock take page for sites without advanced inventory 
